"","s-42","s-43","s-44","s-82","s-83","s-84","s-52","s-53","s-54","s-92","s-93","s-94"
"KIAA1549L",-0.631295512590255,-0.631295512590255,-0.631295512590255,-0.605922185857585,-0.614338511684927,-0.615229854978679,-0.602502299616232,0.582305195847717,2.25834882468778,-0.609909307461169,0.663439422805011,1.43769525402884
"CFI",-0.487946836389394,-0.487946836389394,-0.487946836389394,-0.487946836389394,-0.487946836389394,-0.487946836389394,-0.487946836389394,0.757797492275149,2.91374178400741,-0.487946836389394,0.0702212074234544,0.161814207409134
"RYR2",-0.595023285174749,-0.595023285174749,-0.595023285174749,-0.595023285174749,-0.595023285174749,-0.595023285174749,-0.170031516584704,1.64409080703559,2.32483409624874,-0.595023285174749,0.581729488480066,-0.215459878956453
"P2RY2",-1.23823678276429,1.62950072580636,0.969359084186288,0.377529210463668,1.04233637642407,0.521420152328618,0.697984989056236,-1.23823678276429,-0.879917848695871,-0.584540497637614,-1.09202297717633,-0.205175649226841
"TMPRSS15",-0.854237169482287,-0.854237169482287,-0.854237169482287,-0.104442735072223,-0.761728649416386,-0.854237169482287,-0.225914381734525,0.280751999705941,1.70387833481234,-0.270877471218673,1.885873356552,0.909408224300677
"PTGIS",-0.508602246177681,-0.508602246177681,-0.508602246177681,-0.508602246177681,-0.508602246177681,-0.508602246177681,-0.508602246177681,-0.0582332789342948,2.60911919925793,-0.508602246177681,0.0633953674934134,1.4545366816044
"C3",-0.329934011371944,-0.00412479557494013,3.01433175436786,-0.221815086846585,-0.264633766255188,0.608106439920225,-0.500788973956873,-0.500788973956873,-0.414863417869368,-0.448536439997727,-0.500788973956873,-0.436163754501711
"LINC00312",-0.890342402109207,0.33780458570817,2.08003458566137,0.196684937395692,1.39800866391619,0.199425261729235,-0.396926461429258,-0.890342402109207,-0.890342402109207,0.636680437564639,-0.890342402109207,-0.890342402109207
"CREB3L1",-0.713662064716545,1.15344072479862,-0.0927470667286328,-0.562177010552185,2.05012172348979,1.4924050347887,-0.713662064716545,-0.651557802578174,0.126186703034633,-0.713662064716545,-0.713662064716545,-0.661024047386565
"CSMD1",-0.676555360467435,-0.676555360467435,-0.44939890303752,-0.593426087453261,-0.609888982536997,-0.676555360467435,-0.676555360467435,0.959307300531866,2.20392754798401,-0.396289441276975,1.51751574622799,0.0744742614306259
"LOC101928766",-0.617055606941365,0.323753473270707,0.825049116953339,1.41493306642465,1.75052905393094,1.01202822615491,-0.592021186591735,-0.841114291628975,-0.841114291628975,-0.841114291628975,-0.795133636015601,-0.798739632298919
"MIR548AC",1.44844626142584,-0.569253090860579,-0.562788776160385,-0.118435917883555,0.238247897917631,-0.188022524121075,2.31939315081259,-0.847321717998426,-0.654892286142482,0.556906669544696,-0.847321717998426,-0.774957948535834
"IL12B",-0.668197009966021,0.478314997893492,0.564218949697934,-0.555444500157293,1.59237894570019,2.22316410633457,-0.591427249441914,-0.621971912285276,-0.668197009966021,-0.573162238649103,-0.668197009966021,-0.511480069194529
"PTPRT",-0.572718025903219,-0.572718025903219,0.0142172501009464,-0.572718025903219,-0.572718025903219,-0.572718025903219,-0.572718025903219,0.894921762044432,2.80130530590784,-0.572718025903219,0.0751816615890416,0.223400201680271
"KLRC4-KLRK1",-0.672809955923958,-0.672809955923958,-0.672809955923958,-0.0834070376890443,-0.633420143451148,-0.610611138642385,-0.137734553914575,0.857559354062807,-0.536655348318395,-0.672809955923958,1.84584467915404,1.98966401249454
"KLRC4",-0.690001208455122,-0.690001208455122,-0.424670658855951,-0.690001208455122,-0.638088012014216,-0.567040249114716,-0.60185191073257,0.212308083487859,1.73247749955739,-0.690001208455122,1.26260000892605,1.78427007256664
"CTSLP2",-0.611051120686226,-0.611051120686226,-0.611051120686226,-0.611051120686226,-0.611051120686226,-0.611051120686226,-0.611051120686226,0.320464814522073,0.569925358505842,-0.371661675551908,2.49454771787223,1.26408162945535
"GRIN2A",-0.933313121239013,0.148685144194882,0.5059840713473,1.75880862346247,1.06139185798989,1.58649152356539,-0.773923211894878,-0.885326687007241,-0.365498965062965,-0.440033492602304,-0.933313121239013,-0.729952621514527
"C15orf27",-0.593326393822077,0.530303373652613,0.312538033695757,-0.42757312367304,2.79632599495175,0.666075803266151,-0.593326393822077,-0.457418800872885,-0.593326393822077,-0.453619311909957,-0.593326393822077,-0.593326393822077
"CSRP2",-0.680543940503314,-0.680543940503314,-0.680543940503314,-0.680543940503314,-0.59749019983931,-0.680543940503314,-0.680543940503314,0.423360010372216,1.04195465906541,0.366931579781797,2.52143777903936,0.327069814600416
"CRISPLD1",-0.799220827479275,-0.799220827479275,-0.799220827479275,-0.799220827479275,-0.757685184150941,-0.733633617795682,-0.799220827479275,1.15425261371447,1.78507291630328,0.772324388589965,0.91927867971115,0.856494341024127
"C1QC",-0.573744581811371,-0.573744581811371,0.210100537201814,-0.573744581811371,-0.573744581811371,-0.573744581811371,-0.573744581811371,0.238770966891344,0.872020632965363,-0.573744581811371,-0.101783289363818,2.7971032249849
"RAB3C",-0.541991837953478,-0.541991837953478,-0.541991837953478,-0.541991837953478,-0.461531043582207,-0.457290305023131,-0.541991837953478,-0.322619539198683,0.385075949164864,-0.429239257150859,2.58524332264057,1.41032006291684
"C1QB",-0.526517285577341,-0.526517285577341,-0.469130518918718,-0.526517285577341,-0.526517285577341,-0.526517285577341,-0.526517285577341,0.231143732602998,1.91855244332108,-0.526517285577341,-0.241453644542718,2.24650898657875
"FST",-0.607572421434063,-0.607572421434063,-0.607572421434063,-0.607572421434063,-0.607572421434063,-0.607572421434063,-0.607572421434063,1.74548281796278,0.0943581406513857,-0.607572421434063,1.04733464198901,1.97340377086933
"MIR501",-0.842570838014658,-0.842570838014658,-0.842570838014658,-0.842570838014658,-0.842570838014658,-0.842570838014658,1.37755939226697,0.0829053716514117,1.76480540956649,0.214483835236524,1.23804781022144,0.377623209145121
"FFAR3",-0.768417014741537,-0.768417014741537,-0.768417014741537,-0.576693440789084,-0.768417014741537,-0.768417014741537,1.32020315119521,0.646397937727199,0.0287844396579615,0.524354634424763,2.26773479192521,-0.368696440433582
"SLC24A4",-0.600601790565083,0.614507620783254,0.553944267086033,-0.0372510174470789,0.246495015401948,2.7880238693305,-0.600601790565083,-0.562109011764152,-0.600601790565083,-0.600601790565083,-0.600601790565083,-0.600601790565083
"SCNN1G",-0.658890000784958,1.18531592288657,1.22818853165687,-0.658890000784958,0.587213927388625,2.11042469865634,-0.658890000784958,-0.658890000784958,-0.658890000784958,-0.658890000784958,-0.658890000784958,-0.49891307509369
"MRO",-0.675308683811438,-0.675308683811438,-0.675308683811438,-0.0864486701754446,-0.675308683811438,-0.675308683811438,-0.675308683811438,2.54355378429499,1.22910003652279,-0.0135386197007283,0.508848811947498,-0.129663240020476
"PRL",-0.541067444041305,-0.541067444041305,-0.541067444041305,-0.541067444041305,-0.541067444041305,-0.541067444041305,-0.541067444041305,1.09093788800161,2.70451274426733,-0.541067444041305,0.341849208423174,0.191239711638326
"HHIP-AS1",-0.218949199722358,-0.47994855000941,-0.47994855000941,-0.195840117994955,-0.47994855000941,-0.461959624704519,0.177750187758278,-0.316882414615191,-0.361814065793476,3.11201316040015,-0.0514564785649904,-0.24301579673471
"LHX3",-0.450389054642462,0.131656136516464,-0.450389054642462,-0.450389054642462,2.95803523138257,0.745633447825002,-0.450389054642462,-0.450389054642462,-0.232212378584338,-0.450389054642462,-0.450389054642462,-0.450389054642462
"SERPINB2",-0.530728009413465,0.41737722118182,1.51593967951154,2.50571940054608,-0.449557665418537,-0.274382569926647,-0.530728009413465,-0.530728009413465,-0.530728009413465,-0.530728009413465,-0.530728009413465,-0.530728009413465
"CCL18",-0.483333014203477,-0.483333014203477,-0.483333014203477,-0.483333014203477,-0.483333014203477,-0.483333014203477,-0.483333014203477,-0.0216999835908104,1.30031237071148,-0.415541780656331,-0.21039853312535,2.73065902608535
"CAV2",-0.875209403349071,1.28903946062108,0.924121874183757,0.222250784116047,1.23707743766352,1.62635892782353,-0.875209403349071,-0.875209403349071,-0.875209403349071,-0.50520654266917,-0.875209403349071,-0.41759492499341
"LOR",-0.514271288440843,1.24042905349209,0.193043819578592,-0.514271288440843,2.7032868696232,-0.0225894351671443,-0.514271288440843,-0.514271288440843,-0.514271288440843,-0.514271288440843,-0.514271288440843,-0.514271288440843
"PLA2G2C",-0.607032305618168,0.349096025235292,0.356499753754829,-0.465988162690839,2.44698643532465,1.44698447515479,-0.607032305618168,-0.491384693069714,-0.607032305618168,-0.607032305618168,-0.607032305618168,-0.607032305618168
"CCL13",-0.465267440251984,-0.465267440251984,-0.465267440251984,-0.465267440251984,-0.465267440251984,-0.465267440251984,-0.465267440251984,-0.207414785504846,1.02915886959443,-0.313803845755587,-0.126485209677454,2.87541705310734
