replicate,logFC,AveExpr,t,P.Value,adj.P.Val,B
57617,-0.2551564682320313,4.672961843406474,-2.5433293981515224,0.012586858634701556,0.9997782268743401,-3.295353210037306
23361,-0.2706610934877429,2.216935848959944,-2.919554656173443,0.0043728041010335375,0.9997782268743401,-3.300864970707905
3065,0.11345840823509779,6.106707058924905,2.522250398716384,0.013315264747779767,0.9997782268743401,-3.3054347588095325
131544,-0.3412411140783105,4.6200379167703405,-2.524193787754584,0.0132465590778965,0.9997782268743401,-3.3172898798837
196463,-0.359602290991325,4.661548077660924,-2.516111739318683,0.013534394459417638,0.9997782268743401,-3.3246435265267262
374879,0.25234377751908,3.790529790941821,2.5879865773933455,0.011160818963915672,0.9997782268743401,-3.3294097300527588
8905,-0.29614307180747623,7.332485344566924,-2.547859798529086,0.01243506387237163,0.9997782268743401,-3.332244142925572
55016,-0.35910808050819476,7.011517161866542,-2.530582829024254,0.013022921965776181,0.9997782268743401,-3.3352417650225563
944,-0.2646825277014502,5.431201956360526,-2.479416933067144,0.014913074932244983,0.9997782268743401,-3.348007880268408
284417,-0.5470547475986889,2.936925370700371,-2.727705659166234,0.007591219522239926,0.9997782268743401,-3.353915090792831
387712,-0.5057772527470683,2.6606781418647265,-2.754090821962963,0.00704737798289903,0.9997782268743401,-3.3747793076069685
221472,-0.382843643841305,6.389447456062911,-2.4676566214568973,0.01538080392367702,0.9997782268743401,-3.3836475642663717
55785,-0.43000912336775876,3.879601577713942,-2.530250909620911,0.013034456157686645,0.9997782268743401,-3.3839385317341835
7045,-0.379664226695243,6.7803704648502015,-2.483671474726836,0.014747025284208234,0.9997782268743401,-3.385567885209788
23158,-0.3455657965208099,5.153859207942198,-2.438498137807504,0.016597534290130736,0.9997782268743401,-3.4022936933585264
23191,-0.306200310199074,5.6944249730283625,-2.433830927770995,0.016800065993490945,0.9997782268743401,-3.4071186456632803
51313,-0.5039791240255713,6.793534730607721,-2.4603080602683125,0.015679686528856176,0.9997782268743401,-3.4107205981217508
1462,-0.5479301514290018,10.606557150351174,-2.677002495023349,0.00874482512997592,0.9997782268743401,-3.411913659943198
25946,-0.4134626796227838,5.481775845282992,-2.429246334704193,0.017001155100984825,0.9997782268743401,-3.412054791733026
91607,-0.2707257523665083,5.763422249348654,-2.421513106658821,0.017345214517574224,0.9997782268743401,-3.423107768661926
157,-0.27550354729949955,6.795994754742203,-2.4437370925732065,0.01637278881958472,0.9997782268743401,-3.43130469115732
2768,-0.19186317296457833,4.325762297655616,-2.4504866555625733,0.01608724500505474,0.9997782268743401,-3.4317812053150023
3309,0.20266177718782608,7.446440716518435,2.4712544161025893,0.015236339292909745,0.9997782268743401,-3.433326119632171
388403,-0.19251796015838085,5.820840899858795,-2.4134717511151926,0.017709547540414653,0.9997782268743401,-3.4353248933330462
92017,-0.15273330910565175,5.287765601934699,-2.4093106757770757,0.01790073684229759,0.9997782268743401,-3.436893611341837
407977,-0.29815379351434856,5.216914265942808,-2.4063510145390334,0.01803784028068964,0.9997782268743401,-3.4427930163241522
342510,-0.47592185308050716,7.045038486937048,-2.4351919976499143,0.01674077649102226,0.9997782268743401,-3.454211092887003
83742,-0.4532270449940201,3.194581012049077,-2.545417739341964,0.012516681237009535,0.9997782268743401,-3.4586530709493744
162,-0.19860071083792707,5.8081653442989705,-2.3874135787461808,0.018937420192366532,0.9997782268743401,-3.4663544936013353
84879,-0.4844979598284693,1.51584479340642,-2.9711693851298175,0.0037534139116092045,0.9997782268743401,-3.467655291119398
140710,-0.30907839454711095,4.151819025200395,-2.430112308852362,0.016963008250623513,0.9997782268743401,-3.4697401544135884
53373,-0.32092398141409983,5.069772382849211,-2.380582291728186,0.019271576048342818,0.9997782268743401,-3.4755108530299887
57182,-0.30493110922153743,4.7272193495367985,-2.389456954239363,0.01883847235710881,0.9997782268743401,-3.4781457301231566
4286,-0.40847664954374663,2.5792980573186806,-2.6527259943282018,0.00935164360301306,0.9997782268743401,-3.483373704985718
653653,-0.3313035302272196,2.4129915046221515,-2.679432675373484,0.008686091450949104,0.9997782268743401,-3.4851814565757935
162073,-0.38941208440082686,4.7607008197445255,-2.3793142400865936,0.019334176237689894,0.9997782268743401,-3.4916525588636715
1184,-0.31520603891351273,3.782412070015507,-2.450780309900403,0.016074923354649884,0.9997782268743401,-3.4954199322832284
55314,-0.5288122395176167,3.0583798222622556,-2.556493965216442,0.012150321567875273,0.9997782268743401,-3.5054316026925862
730102,-0.4066990897376175,2.104162532049395,-2.7343024717291375,0.007451777392189435,0.9997782268743401,-3.511524680582886
8741,-0.31526188347787176,5.442018663374949,-2.3467424110536834,0.021005233038542986,0.9997782268743401,-3.5136178041407033
6252,-0.3887349328517047,4.37072308598073,-2.3771230360475393,0.019442775408172047,0.9997782268743401,-3.51376265428455
57486,-0.3597141950344729,3.929373906408488,-2.4101610754085523,0.017861514783989646,0.9997782268743401,-3.5175792433810393
10844,-0.13624914558108792,5.508473646758605,-2.3415365358859495,0.02128384702386751,0.9997782268743401,-3.5194251338566973
6453,-0.38449942084576394,3.324935650941226,-2.47920671099044,0.014921322859471899,0.9997782268743401,-3.525803634222237
64855,-0.39767309555297103,4.438176237429131,-2.366304322188778,0.019986938996992575,0.9997782268743401,-3.526114965327748
2519,-0.25588430367226156,4.279912034524515,-2.375125737752145,0.019542235576870785,0.9997782268743401,-3.527654737036699
2317,0.35261622353168764,4.557475724373285,2.3547044333697635,0.02058535517529467,0.9997782268743401,-3.5292572771044046
6671,0.33348146099760356,4.866439593445604,2.3405090713103247,0.0213392207696304,0.9997782268743401,-3.531227888498221
3663,-0.3349021999164945,5.588616910856378,-2.331271622983108,0.0218428106715239,0.9997782268743401,-3.5324902723012155
