"","ID","Gene.symbol"
"8171533",8171533,""
"7978208",7978208,"TINF2"
"8034871",8034871,""
"8052803",8052803,"AAK1"
"8008716",8008716,"MSX2P1"
"8115445",8115445,"TIMD4"
"8013484",8013484,""
"7905258",7905258,"SETDB1"
"8108301",8108301,"KIF20A"
"8127087",8127087,"GSTA3"
"7990487",7990487,"SIN3A"
"8081386",8081386,"NFKBIZ"
"7951593",7951593,"COLCA1"
"8052798",8052798,"AAK1"
"8081548",8081548,"NECTIN3"
"7956046",7956046,"DGKA"
"7915200",7915200,""
"7958414",7958414,"ISCU"
"7937485",7937485,"PNPLA2"
"8151542",8151542,"FABP12"
"8125748",8125748,"LYPLA2"
"8163063",8163063,"CTNNAL1"
"8176566",8176566,""
"8115391",8115391,"HAND1"
"7941457",7941457,"CCDC85B"
"8110392",8110392,"TMED9"
"7929947",7929947,"TLX1"
"8123494",8123494,"FAM120B"
"7932420",7932420,"HACD1"
"8155877",8155877,""
"8132302",8132302,"PP13004"
"8013641",8013641,"PIGS"
"8165905",8165905,""
"8037847",8037847,"AP2S1"
"8003156",8003156,""
"7961889",7961889,""
"7982745",7982745,"CHST14"
"7906808",7906808,""
"8075553",8075553,""
"8171029",8171029,"F8A3///F8A2///F8A1"
"8036720",8036720,"PAF1"
"8093683",8093683,""
"7962794",7962794,"ZNF641"
"8126855",8126855,"PTCHD4"
"8124537",8124537,"HIST1H3J"
"8096025",8096025,""
"8100962",8100962,""
"8050790",8050790,"DNAJC27"
"8136473",8136473,"TRIM24"
"8053447",8053447,""
"7936826",7936826,"IKZF5"
"8008139",8008139,"UBE2Z"
"8029182",8029182,"ZNF574"
"7984203",7984203,"ZNF609"
"8157522",8157522,""
"8078442",8078442,"CCR4"
"7944011",7944011,"REXO2"
"8071593",8071593,""
"8130622",8130622,""
"7947228",7947228,""
"7922250",7922250,"SCYL3"
"7910414",7910414,""
"8052397",8052397,""
"8035939",8035939,""
"8073013",8073013,""
"8055309",8055309,""
"8124335",8124335,""
"7900710",7900710,"SZT2"
"7931405",7931405,"PPP2R2D"
"8087874",8087874,"WDR82"
"8116585",8116585,""
"7943777",7943777,""
"7995755",7995755,"OGFOD1"
"8148467",8148467,"CHRAC1"
"8060947",8060947,""
"7944765",7944765,""
"8133221",8133221,""
"7940891",7940891,"DNAJC4"
