"","Gene.symbol","logFC","P.Value"
"8077171","RABL2A///RABL2B",0.409303654545456,5.74520214047922e-05
"8062844","TTPAL",-0.688354709090905,5.75469499834061e-05
"8116532","SNORD95",0.513435636363639,5.78300411112482e-05
"8112980","EDIL3",-0.518086763636365,5.78583478180766e-05
"8126402","TRERF1",0.62098081818182,5.80098697843216e-05
"8118634","RING1",0.331620727272728,5.83268663345482e-05
"7925089","PCNX2",0.560080036363635,5.8408757327539e-05
"8075493","PATZ1",0.407462854545454,5.85224983518373e-05
"7953749","CLEC4D",-1.52295910909091,5.89067393769765e-05
"7994603","SPN",0.838376545454548,5.93341050346429e-05
"7949206","MEN1",0.333907981818184,5.93452154414094e-05
"8100328","USP46",0.678126127272727,5.9400874016582e-05
"8118682","PHF1",0.441833709090913,5.94832904510959e-05
"8103834","AGA",0.579426,6.01986182656539e-05
"7983021","PLA2G4B///JMJD7///JMJD7-PLA2G4B",0.4764392,6.2472990609793e-05
"8049097","DIS3L2",0.462022981818183,6.27611541309453e-05
"7991374","IDH2",0.506509672727274,6.28439529860517e-05
"8094743","RHOH",0.719536072727275,6.28798598534395e-05
"8011396","SHPK",0.386519800000001,6.30315448131154e-05
"8082422","EEFSEC",0.388103618181821,6.43730181125157e-05
"8072482","",0.665248636363637,6.4531691261067e-05
"7909478","DIEXF",0.529320890909093,6.48801590890238e-05
"8078619","ITGA9",-0.393350545454545,6.592362179851e-05
"8015031","CCR7",1.08987258181818,6.60045881161822e-05
"8109201","HMGXB3",0.319582909090911,6.6220789691111e-05
"7935474","MMS19",0.41067521818182,6.6305721540671e-05
"8027139","RFXANK",-0.406527090909091,6.64748538721018e-05
"8087748","DCAF1",0.571365800000001,6.65739983459885e-05
"8059413","DOCK10",0.845887927272727,6.74679839288105e-05
"8003283","KLHDC4",0.393216509090911,6.75532038085985e-05
"7921652","SLAMF1",0.740386145454543,6.80535455586177e-05
"8049271","ATG16L1",0.484865800000001,6.84947110351348e-05
"7974781","PPM1A",-0.669342181818182,6.85628814898393e-05
"8079677","P4HTM",0.396304854545456,6.87122173074312e-05
"8009301","PRKCA",0.630719818181818,6.92406567037386e-05
"8122182","TBPL1",-0.683071799999999,7.02600479486486e-05
"7963750","CBX5",0.785315400000002,7.04951642871938e-05
"7940857","STIP1",0.566541472727274,7.05691970710291e-05
"7906622","LY9",0.718177090909094,7.06259512483165e-05
"7921637","CD84",0.688636909090912,7.11404732361798e-05
"8044473","POLR1B",0.679205818181821,7.15100106485128e-05
"8178244","RING1",0.342217254545456,7.15154178932819e-05
"8109194","SLC26A2",0.617917763636364,7.19136573398764e-05
"8044669","RABL2A///RABL2B",0.437241818181818,7.25686638512547e-05
"8145259","CHMP7",0.595937399999999,7.28518556910411e-05
"8143781","GIMAP6",0.580498909090908,7.31380167796003e-05
"8086842","MAP4",0.382710836363641,7.32166116520875e-05
"7937485","PNPLA2",-0.685834909090909,7.38039408911323e-05
"7952601","ETS1",0.848667272727273,7.43988263014325e-05
"8133345","WBSCR22",0.358192581818185,7.44612641011109e-05
"7917156","FUBP1",0.602444272727272,7.53521420850113e-05
"7907297","FMO4",0.34971681818182,7.58006320151083e-05
"7898894","PITHD1",-1.24593809090909,7.58111518789047e-05
"7963614","ITGB7",0.769178199999999,7.62522227722159e-05
"8160670","AQP3",0.654254727272729,7.68565259091952e-05
"8117929","ABCF1",0.386172563636363,7.73952804298153e-05
"8177797","ABCF1",0.386172563636363,7.73952804298153e-05
"8179112","ABCF1",0.386172563636363,7.73952804298153e-05
"7951467","ALKBH8",0.574282545454547,7.755580714069e-05
"7993185","NUBP1",0.724760945454547,7.897697807149e-05
"8076374","SNU13///ANXA2",0.599802945454549,7.94333661598742e-05
"7913883","PAFAH2",0.469362763636366,7.95902550509616e-05
"8002533","ZNF23",-0.888431054545451,8.1507096209611e-05
"7945394","ANO9",0.435324345454548,8.34754736129155e-05
"7998381","LMF1",0.434328672727274,8.37800124723e-05
"7964677","C12orf66",0.508963363636365,8.44340152822741e-05
"7997048","DDX19B",0.370389418181817,8.45946407863156e-05
"7960716","PHB2",0.585352,8.47014105162689e-05
"8057732","NEMP2",0.532695945454544,8.60041037859729e-05
"8102311","CASP6",0.533320436363637,8.65935281366832e-05
"7975687","LIN52",0.518384854545456,8.66836091005996e-05
"8158829","PRRC2B",0.498429163636365,8.67885877411749e-05
"8137252","GIMAP1-GIMAP5///GIMAP1",0.776043072727273,8.73257752810951e-05
"8170187","CD40LG",1.31522518181818,8.78918962997681e-05
"8074237","CECR1",0.714765327272728,8.91217803228937e-05
"8114628","HARS",0.585199854545458,8.91831780597824e-05
"8085797","THRB",-0.498454272727272,8.94699822396762e-05
"8154872","UBAP1",-0.55867136363636,8.96779224359251e-05
"7905185","RPRD2",0.527259327272729,8.98810370840946e-05
"8068788","UBASH3A",0.8807448,9.04082662740571e-05
"7908732","IPO9",0.614253181818183,9.04835215777418e-05
"8146159","AP3M2",0.598393654545455,9.05068569091684e-05
"8167656","MAGED1",0.487218800000004,9.05814647060663e-05
"8118594","HLA-DPB1",0.702268000000002,9.0838365096831e-05
"8092534","TMEM41A",0.509867818181815,9.1300918570535e-05
"8016414","SKAP1",1.04001874545455,9.19758923251341e-05
"8149387","FAM86HP///FAM86B1///FAM86C1",0.6479956,9.2348061112337e-05
"8090193","HEG1",0.801901981818184,9.24130595369072e-05
"8174692","SEPT6",0.545552527272728,9.28035107206057e-05
"8137054","CUL1",0.672715618181819,9.34695273789838e-05
"8054978","ERCC3",0.508958181818183,9.36447601741051e-05
"8174313","MORC4///MORC4",0.744674127272729,9.45204348933373e-05
"7974387","STYX",0.656037236363639,9.51139708760846e-05
