Gene.symbol,logFC,P.Value
BTN3A1,0.691998268,0.000786378
TLR10,0.698102679,0.00079111
,-0.956284786,0.000792748
CLC,0.962779482,0.000792924
,0.252357509,0.000793267
HLA-H///HLA-C///HLA-B///HLA-A///HLA-A,0.28932875,0.000795772
ENDOV,-0.20370925,0.000796316
SNORA23,-0.633226179,0.000797694
MYCT1,0.368478098,0.000798521
FERMT3,0.559857554,0.000798796
SIGLEC7,0.296990696,0.000805581
CXCR2,0.367903777,0.000806076
HLA-H///HLA-B///HLA-A///HLA-B///HLA-A,0.301628571,0.000806963
GPR141,0.491648491,0.000807516
UBBP4,-0.240091696,0.000808662
HLA-F///HLA-B,0.520777214,0.000811634
RGS18,0.490226536,0.000815502
HMCN2,-0.234424857,0.000816617
,-0.32706958,0.000820704
DPEP2,0.240635134,0.000827922
SAMD9,0.630490187,0.000829053
DNAJC5B,0.27024375,0.000833607
TUBB2A,-0.291817286,0.000833983
FAM72A///FAM72D///FAM72B,0.537346795,0.00084499
FOXF2,-0.243216464,0.000854312
TFG,-0.277910357,0.000854347
HLA-DOB,0.817356714,0.000861616
CCRL2///CCRL2,0.386523911,0.000861878
XCL1,0.612629929,0.000863074
SIGLEC16,0.413716321,0.000863148
CCL4,0.570225946,0.000863806
SP110,0.442348089,0.000866472
,-0.429626652,0.000869358
ACVRL1,0.405525232,0.000870162
,0.349388125,0.000877673
,0.306978464,0.000877921
HLA-DOB,0.790552286,0.000878912
RASGRP4,0.286930964,0.000880023
GNG2,0.225430955,0.000883179
IL1RN,0.396359839,0.000885967
FAM72A///FAM72D///FAM72B,0.526240143,0.00088905
P2RX7,0.697213464,0.000899983
HIST1H2BL,0.24315183,0.000900568
1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1,0.690043259,0.000909278
TIFAB///DCANP1,0.406178857,0.000916099
SP140,0.647485955,0.000918253
FLT3LG,0.337182571,0.000920728
THEMIS2,0.778347295,0.000925743
KLRF1,0.702769482,0.000926842
GAS7,0.227888438,0.000930223
LAMP3,0.538791286,0.000930551
TCEB3CL2///TCEB3CL///TCEB3C///TCEB3B,-0.242992991,0.000934024
,0.507951063,0.000942414
GNAL,-0.345686643,0.000945224
VNN2,0.667665027,0.000959156
VENTX,0.249922777,0.00096881
GINS3,0.193602429,0.000973058
FOXQ1,-0.244048411,0.000974506
,-0.568904554,0.000974809
TOM1L1,-0.363503,0.000976806
IL2RB,0.930113143,0.000977983
NOD1,0.238719938,0.000979267
FAM177B,0.341296768,0.000980115
IKBKE,0.292222741,0.000981884
MICB,0.423614643,0.000984343
CD160,0.678459143,0.000996472
,0.43312775,0.001001555
,-1.039382277,0.001001808
HLA-H///HLA-G///HLA-C///HLA-A///HLA-A,0.294374464,0.001004145
HLA-H///HLA-G///HLA-C///HLA-A///HLA-A,0.294374464,0.001004145
GBP6,0.333955839,0.001004927
MIR221,0.414827438,0.001005013
FANCI,0.28249942,0.001009211
CSF2RB,0.637951902,0.001009541
SLC25A22,-0.205666955,0.001013033
HLA-H///HLA-C///HLA-B///HLA-A///HLA-B///HLA-A,0.259321429,0.001036563
LPCAT3,-0.280101071,0.001038071
ARNTL,0.538210938,0.001038716
,0.587407134,0.001046364
NUF2,0.366651348,0.00105466
ZBTB10,-0.237386473,0.0010575
ADA,0.412708804,0.001067987
