Gene.symbol,logFC,P.Value
HLA-DQB2///HLA-DQB1,0.724908771,1.00944265681002e-06
FAM26F,0.50059265,1.05460107802689e-06
FNBP1,0.359340757,1.06357187495243e-06
TCAF2P1///TCAF2,0.358658729,1.07385848442984e-06
CRTAM,0.611306557,1.07451672547019e-06
HHEX,0.382408307,1.09115141595071e-06
CD69,0.875041543,1.09245967861692e-06
IGFLR1,0.534562979,1.12474480190745e-06
CLIC2,0.806362364,1.15074264846752e-06
PECAM1,0.671872143,1.15216102273604e-06
GZMB,0.495302129,1.17318265338023e-06
WARS,0.709943093,1.18235410638771e-06
TCAF2P1///TCAF2,0.383760714,1.20498090536858e-06
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A,0.408191929,1.2201101612727e-06
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A,0.408191929,1.2201101612727e-06
CALHM2,0.398909329,1.22190030852229e-06
RGS18,0.630300793,1.29348198377599e-06
,-0.2796462,1.38280163057993e-06
CD72,0.748022143,1.39569095323773e-06
LYN,0.839530636,1.40140784705953e-06
NCF1C///NCF1B///NCF1,0.422994729,1.43059403431441e-06
LILRB3,0.604520371,1.4949093658605e-06
ICAM1,0.746457914,1.58841690573049e-06
FCGR1CP///FCGR1B///FCGR1A,1.327511864,1.59013934175296e-06
SELL,1.051314007,1.61557966009101e-06
TSPYL1,-0.266219,1.63337870988314e-06
MB21D1,0.699657786,1.63805210338224e-06
PATL2,0.373421729,1.64770130847186e-06
KLRB1,0.984187279,1.70521246787189e-06
TNFAIP3,0.746670079,1.73023418404193e-06
CST7,0.764250457,1.80784482609527e-06
GIMAP7,0.65089545,1.81601494853503e-06
ADGRE4P,0.496401271,1.82413179876821e-06
IGSF6,1.028731093,1.84598937301539e-06
DAPP1,0.780686993,1.89302802074641e-06
PLCB2,0.6755925,1.93767640978943e-06
HLA-H///HLA-C///HLA-B///HLA-A///HLA-A,0.301847571,1.9435649311787e-06
HLA-F///HLA-B,0.584267871,1.97192745190751e-06
RAB37,0.390407307,1.97560744827059e-06
IL1B,0.838063829,1.97573816891626e-06
BID,0.44863835,1.98933867945282e-06
TNFRSF1B,0.592744736,1.9970359299817e-06
ARHGAP25,0.664342907,2.03371519746262e-06
P2RY13,0.83755175,2.05555051571312e-06
THEMIS2,0.833162221,2.07144657622994e-06
CDH5,0.589347943,2.07954547937055e-06
SH2B3,0.382703407,2.0809648278518e-06
AOAH,1.212273143,2.0883169494505e-06
GBP2,1.018074214,2.12243941784044e-06
IRF8,0.964549571,2.12600053202089e-06
XCL1,0.921194986,2.14368087175625e-06
TM6SF1,0.650632707,2.18721274599852e-06
HLA-H///HLA-B///HLA-A///HLA-B///HLA-A,0.313058857,2.19844823327267e-06
HLA-H///HLA-C///HLA-B///HLA-A///HLA-B///HLA-A,0.282620143,2.21092668169797e-06
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A,0.390843357,2.22262702501351e-06
STK10,0.543390336,2.22975779383706e-06
PPM1N,0.477756679,2.23070720036386e-06
CD300C,0.436571936,2.29173030707569e-06
ITGAM,0.480738064,2.29899628703559e-06
BTN3A1,0.773674536,2.35708726377258e-06
MAP3K8,0.371810271,2.37268415346162e-06
GPR65,0.941649757,2.38483963002083e-06
FYN,0.498447486,2.41958150475889e-06
PYHIN1,0.844791707,2.44536226661642e-06
CSF2RA,0.591854814,2.59221733914705e-06
CSF2RA,0.591854814,2.59221733914705e-06
NFE2L3,0.606554036,2.64585477126634e-06
SAMD3,0.672878507,2.66151326993218e-06
PYCARD,0.469332686,2.69759790404061e-06
KLRC4-KLRK1///KLRK1,1.387035207,2.69921189953415e-06
TM4SF1,0.589505971,2.75947212022064e-06
SH2D2A,0.379218043,2.7771256122434e-06
DOCK10,0.9138255,2.86577811384897e-06
FAR2,0.5969522,2.8712003618035e-06
DOK1,0.288396693,2.87768329732384e-06
WDFY4,0.684476636,2.91468180323697e-06
LRRC8C,0.440684071,2.95711810450377e-06
IFI27,0.730908107,2.98463841774975e-06
HLA-J///HLA-H///HLA-B///HLA-A///HLA-A,0.297204571,3.01824422443549e-06
LYZ,1.038620979,3.05081310451696e-06
ELMO1,0.710534186,3.06266846461855e-06
TAP2,0.557880521,3.07946075304854e-06
S1PR1,0.4124841,3.17346871354652e-06
OAS2,0.80044455,3.1994290986582e-06
MLKL,0.538810443,3.25880211540258e-06
CSF1,0.395119286,3.26835217736869e-06
CD14,0.733297629,3.29108594364303e-06
PLEKHO1,0.482683243,3.43530751125261e-06
LAT2,0.32602425,3.45049524685335e-06
ARRB1,0.546346621,3.53889505196188e-06
ANKRD44,0.700457157,3.61337033604877e-06
NFATC2///NFATC2,0.521713914,3.69394060828337e-06
NCF1C///NCF1B///NCF1,0.4327322,3.69766932625259e-06
CD1B,0.443716879,3.72669868181953e-06
NCF1C///NCF1B///NCF1,0.440101936,3.74476374596716e-06
GNG11,0.658867093,3.772877122936e-06
HLA-H///HLA-G///HLA-C///HLA-A///HLA-A,0.327732429,3.79086116239116e-06
